fdc_id,measure_unit_id,amount,gram_weight
167660,9999,1.0,89.0
167661,9999,1.0,126.0
167662,9999,1.0,117.0
167663,9999,1.0,122.0
167664,9999,1.0,166.0
167665,9999,1.0,116.0
167666,9999,1.0,148.0
167667,9999,1.0,89.0
167668,9999,1.0,137.0
167669,9999,1.0,198.0
167670,9999,1.0,151.0
167671,9999,1.0,257.0
167671,9999,1.0,149.0
167672,9999,1.0,165.0
167673,9999,1.0,107.0
167674,9999,1.0,623.0
167674,9999,3.0,73.0
167675,9999,1.0,535.0
167675,9999,3.0,53.0
167676,9999,1.0,604.0
167677,9999,1.0,741.0
167677,9999,1.0,136.0
167678,9999,1.0,693.0
167678,9999,1.0,153.0
167679,9999,1.0,648.0
167679,9999,3.0,63.0
167680,9999,1.0,554.0
167681,9999,1.0,8.0
167682,9999,1.0,28.4
167683,9999,1.0,78.0
167684,9999,1.0,15.0
167684,9999,1.0,245.0
167685,9999,1.0,138.0
167685,9999,1.0,14.0
167685,9999,1.0,28.0
167685,9999,1.0,43.0
167685,9999,1.0,14.0
167686,9999,1.0,137.0
167687,9999,1.0,75.0
167688,9999,1.0,94.0
167688,9999,1.0,3.0
167689,9999,1.0,46.0
167689,9999,1.0,203.0
167689,9999,1.0,2.2
167690,9999,1.0,15.0
167690,9999,1.0,113.0
167690,9999,1.0,113.0
167691,9999,1.0,13.0
167691,9999,1.0,207.0
167692,9999,1.0,16.0
167692,9999,1.0,249.0
167693,9999,1.0,16.0
167693,9999,1.0,260.0
167694,9999,1.0,130.0
167694,9999,1.0,28.0
167694,9999,1.0,21.0
167694,9999,1.0,25.0
167695,9999,1.0,15.0
167695,9999,1.0,240.0
167696,9999,1.0,57.0
167696,9999,1.0,151.0
167697,9999,1.0,245.0
167697,9999,1.0,30.6
167698,9999,2.0,45.0
167698,9999,3.0,60.0
167699,9999,1.0,17.0
167699,9999,1.0,265.0
167700,9999,1.0,16.0
167700,9999,1.0,256.0
167701,9999,1.0,50.0
167701,9999,1.0,19.0
167701,9999,1.0,41.0
167702,9999,1.0,13.6
167702,9999,1.0,218.0
167703,9999,4.0,113.0
167703,9999,1.0,227.0
167704,9999,1.0,15.0
167704,9999,1.0,240.0
167705,9999,1.0,100.0
167705,9999,1.0,5.0
167706,9999,1.0,17.0
167707,9999,1.0,2.0
167708,9999,1.0,242.0
167708,9999,1.0,30.2
167709,9999,3.0,85.0
167709,9999,1.0,17.0
167710,9999,3.0,85.0
167710,9999,1.0,17.0
167711,9999,1.0,244.0
167711,9999,1.0,30.5
167712,9999,3.0,85.0
167712,9999,1.0,8.0
167713,9999,3.0,85.0
167713,9999,1.0,28.0
167713,9999,1.0,42.0
167715,9999,1.25,59.0
167716,9999,4.0,113.0
167716,9999,1.0,226.0
167717,9999,1.0,6.0
167718,9999,1.0,31.2
